agecategory,sex,strata,prev,f,r
0,female,SES1,1.7241211093000433,0.3316288578747217,1.0
0,female,SES2,1.5540797454283837,0.43700784809929644,1.0
0,female,SES3,1.475895835554119,0.5758722582958148,1.0
0,female,SES4,1.3016935504896208,0.7588624765369644,1.0
0,female,SES5,1.0,1.0,1.0
0,male,SES1,1.6682949207381272,2.0168264755218206,1.0
0,male,SES2,1.4120047077466227,1.6923937015044215,1.0
0,male,SES3,1.3644063154670083,1.4201501594978683,1.0
0,male,SES4,1.2602028834018064,1.1917005326414303,1.0
0,male,SES5,1.0,1.0,1.0
15,female,SES1,1.7734022697977372,1.3980129464018236,1.0
15,female,SES2,1.4903723147601884,1.285681500469684,1.0
15,female,SES3,1.4839899520666724,1.1823759750611578,1.0
15,female,SES4,1.2499361631671004,1.0873711303235698,1.0
15,female,SES5,1.0,1.0,1.0
15,male,SES1,1.6630886241044676,2.5015115355524435,1.0
15,male,SES2,1.3384595210499464,1.9890783137830494,1.0
15,male,SES3,1.3599517269190284,1.5816167473672131,1.0
15,male,SES4,1.2145791631655227,1.257623452137886,1.0
15,male,SES5,1.0,1.0,1.0
30,female,SES1,2.0977629176849915,2.697759707851198,1.0
30,female,SES2,1.7035087776818973,2.105001685961427,1.0
30,female,SES3,1.5402215609755971,1.642485831857066,1.0
30,female,SES4,1.2710408008956107,1.2815950342667008,1.0
30,female,SES5,1.0,1.0,1.0
30,male,SES1,1.9001380040291047,2.7170419537873705,1.0
30,male,SES2,1.4734632341604457,2.116275763789599,1.0
30,male,SES3,1.3676843605610773,1.6483452168121124,1.0
30,male,SES4,1.1888068162130119,1.2838789728055027,1.0
30,male,SES5,1.0,1.0,1.0
45,female,SES1,1.9710443279203398,3.5192895062875973,1.0
45,female,SES2,1.622349861603992,2.5694563596583495,1.0
45,female,SES3,1.5890834332326285,1.8759769471631567,1.0
45,female,SES4,1.4008646849878617,1.3696630779732497,1.0
45,female,SES5,1.0,1.0,1.0
45,male,SES1,1.857000255222425,10.912596491684877,1.0
45,male,SES2,1.4581391595932205,6.004074502925511,1.0
45,male,SES3,1.4694338068922252,3.3034219366718625,1.0
45,male,SES4,1.341238703418783,1.817531825490784,1.0
45,male,SES5,1.0,1.0,1.0
60,female,SES1,1.6351006716679135,1.4441708118966547,1.0
60,female,SES2,1.3333990077637188,1.3173886651023228,1.0
60,female,SES3,1.4626351878492219,1.2017365817418786,1.0
60,female,SES4,1.4144615655238557,1.0962374659451657,1.0
60,female,SES5,1.0,1.0,1.0
60,male,SES1,1.5372409182783031,4.2898690850371155,1.0
60,male,SES2,1.1778533827472533,2.980801315305891,1.0
60,male,SES3,1.3457224781985004,2.0711999143098465,1.0
60,male,SES4,1.3681490486413808,1.4391663956297225,1.0
60,male,SES5,1.0,1.0,1.0
75,female,SES1,1.5054374434845348,1.0737975898163494,1.0
75,female,SES2,1.2429540606960765,1.0548526994970302,1.0
75,female,SES3,1.4640503956538329,1.036242051750627,1.0
75,female,SES4,1.409621050082731,1.017959749572952,1.0
75,female,SES5,1.0,1.0,1.0
75,male,SES1,1.4321143389356852,1.9628207457157176,1.0
75,male,SES2,1.1030892348713135,1.6582899917462994,1.0
75,male,SES3,1.3179828038717716,1.4010070469900278,1.0
75,male,SES4,1.3672465830679301,1.183641435144118,1.0
75,male,SES5,1.0,1.0,1.0
